# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 1207203908
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.1195
# Diagonal elements of inverse mass matrix:
# 0.450186

-8.19595,0.865575,1.1195,1,1,0,0.202737
-7.7111,0.949753,1.1195,2,3,0,0.282854
-7.82178,0.984077,1.1195,2,3,0,0.418575
-8.33263,0.807469,1.1195,1,1,0,0.501848
-7.84165,1,1.1195,1,1,0,0.423184
-7.81697,1,1.1195,1,1,0,0.417422
-8.7662,0.820076,1.1195,2,3,0,0.548739
-7.75004,1,1.1195,2,3,0,0.271306
-8.19097,0.871187,1.1195,1,1,0,0.203252
-7.75245,1,1.1195,1,1,0,0.270671
-7.92326,0.976867,1.1195,2,3,0,0.440152
-7.68663,1,1.1195,1,1,0,0.376514
-8.49399,0.717111,1.1195,1,1,0,0.520726
-7.82181,0.843211,1.1195,2,3,0,0.254823
-8.17996,0.716673,1.1195,2,3,0,0.481786
-7.90744,1,1.1195,1,1,0,0.437069
-7.64748,0.968951,1.1195,2,3,0,0.314945
-7.68136,0.98788,1.1195,1,1,0,0.294203
-8.24645,0.873212,1.1195,2,3,0,0.197676
-8.06722,1,1.1195,1,1,0,0.217145
-8.67663,0.802808,1.1195,2,3,0,0.539966
